MAZ,TAZ,COUNTY,county_name,PUMA
13289,344,1,San Francisco,7507
13293,98,1,San Francisco,7507
13334,44,1,San Francisco,7507
13383,310,1,San Francisco,7507
13384,578,1,San Francisco,7507
13389,619,1,San Francisco,7507
13428,185,1,San Francisco,7507
13448,621,1,San Francisco,7507
13449,43,1,San Francisco,7507
13506,98,1,San Francisco,7507
13507,98,1,San Francisco,7507
13509,578,1,San Francisco,7507
13513,100,1,San Francisco,7507
13515,310,1,San Francisco,7507
13517,122,1,San Francisco,7507
13518,344,1,San Francisco,7507
13519,579,1,San Francisco,7507
13576,619,1,San Francisco,7507
13586,117,1,San Francisco,7507
13598,629,1,San Francisco,7507
13599,294,1,San Francisco,7507
13600,122,1,San Francisco,7507
13601,44,1,San Francisco,7507
13677,184,1,San Francisco,7507
13679,194,1,San Francisco,7507
13680,193,1,San Francisco,7507
13681,193,1,San Francisco,7507
13685,190,1,San Francisco,7507
13824,230,1,San Francisco,7507
13826,232,1,San Francisco,7507
13827,630,1,San Francisco,7507
13832,116,1,San Francisco,7507
13833,116,1,San Francisco,7507
13834,71,1,San Francisco,7507
13890,230,1,San Francisco,7507
13891,232,1,San Francisco,7507
13894,116,1,San Francisco,7507
13896,117,1,San Francisco,7507
13897,117,1,San Francisco,7507
13904,615,1,San Francisco,7507
13939,319,1,San Francisco,7507
13941,237,1,San Francisco,7507
13942,71,1,San Francisco,7507
13946,189,1,San Francisco,7507
13949,120,1,San Francisco,7507
13990,630,1,San Francisco,7507
14057,190,1,San Francisco,7507
14067,318,1,San Francisco,7507
14102,100,1,San Francisco,7507
14103,619,1,San Francisco,7507
14106,100,1,San Francisco,7507
14107,553,1,San Francisco,7507
14109,553,1,San Francisco,7507
14110,553,1,San Francisco,7507
14117,629,1,San Francisco,7507
14175,318,1,San Francisco,7507
14177,194,1,San Francisco,7507
14231,632,1,San Francisco,7507
14304,629,1,San Francisco,7507
14321,235,1,San Francisco,7507
14322,194,1,San Francisco,7507
14334,344,1,San Francisco,7507
14400,120,1,San Francisco,7507
14401,121,1,San Francisco,7507
14434,583,1,San Francisco,7507
14443,235,1,San Francisco,7507
14453,78,1,San Francisco,7507
14525,120,1,San Francisco,7507
14670,316,1,San Francisco,7507
14671,316,1,San Francisco,7507
14672,316,1,San Francisco,7507
14676,194,1,San Francisco,7507
14680,233,1,San Francisco,7507
14689,583,1,San Francisco,7507
14739,156,1,San Francisco,7507
14814,122,1,San Francisco,7507
14877,192,1,San Francisco,7507
14879,232,1,San Francisco,7507
14882,232,1,San Francisco,7507
14885,116,1,San Francisco,7507
14887,117,1,San Francisco,7507
14888,344,1,San Francisco,7507
14889,344,1,San Francisco,7507
14890,344,1,San Francisco,7507
14903,72,1,San Francisco,7507
14919,234,1,San Francisco,7507
14960,237,1,San Francisco,7507
14974,624,1,San Francisco,7507
15010,583,1,San Francisco,7507
15020,632,1,San Francisco,7507
15028,193,1,San Francisco,7507
15029,193,1,San Francisco,7507
15032,318,1,San Francisco,7507
15033,72,1,San Francisco,7507
15037,196,1,San Francisco,7507
15071,583,1,San Francisco,7507
15093,195,1,San Francisco,7507
15183,187,1,San Francisco,7507
15185,449,1,San Francisco,7507
15214,316,1,San Francisco,7507
15215,316,1,San Francisco,7507
15233,623,1,San Francisco,7507
15265,318,1,San Francisco,7507
15287,624,1,San Francisco,7507
15297,72,1,San Francisco,7507
15331,191,1,San Francisco,7507
15349,627,1,San Francisco,7507
15350,122,1,San Francisco,7507
15351,628,1,San Francisco,7507
15378,318,1,San Francisco,7507
15407,583,1,San Francisco,7507
15408,553,1,San Francisco,7507
15409,618,1,San Francisco,7507
15411,553,1,San Francisco,7507
15412,311,1,San Francisco,7507
15436,318,1,San Francisco,7507
15461,621,1,San Francisco,7507
15464,43,1,San Francisco,7507
15465,43,1,San Francisco,7507
15469,98,1,San Francisco,7507
15482,234,1,San Francisco,7507
15531,582,1,San Francisco,7507
15533,43,1,San Francisco,7507
15591,195,1,San Francisco,7507
15592,197,1,San Francisco,7507
15593,185,1,San Francisco,7507
15594,187,1,San Francisco,7507
15595,78,1,San Francisco,7507
15596,234,1,San Francisco,7507
15598,323,1,San Francisco,7507
15643,193,1,San Francisco,7507
15647,193,1,San Francisco,7507
15649,196,1,San Francisco,7507
15650,316,1,San Francisco,7507
15651,315,1,San Francisco,7507
15653,231,1,San Francisco,7507
15654,196,1,San Francisco,7507
15655,234,1,San Francisco,7507
15657,231,1,San Francisco,7507
15658,234,1,San Francisco,7507
15731,318,1,San Francisco,7507
15774,195,1,San Francisco,7507
15795,318,1,San Francisco,7507
15800,616,1,San Francisco,7507
15803,578,1,San Francisco,7507
15815,629,1,San Francisco,7507
15933,197,1,San Francisco,7507
15934,314,1,San Francisco,7507
15936,449,1,San Francisco,7507
15937,186,1,San Francisco,7507
16002,578,1,San Francisco,7507
16079,578,1,San Francisco,7507
16101,184,1,San Francisco,7507
16102,156,1,San Francisco,7507
16103,185,1,San Francisco,7507
16104,186,1,San Francisco,7507
16147,194,1,San Francisco,7507
16149,193,1,San Francisco,7507
16150,196,1,San Francisco,7507
16151,196,1,San Francisco,7507
16153,234,1,San Francisco,7507
16210,319,1,San Francisco,7507
16231,579,1,San Francisco,7507
16374,187,1,San Francisco,7507
16375,187,1,San Francisco,7507
16376,187,1,San Francisco,7507
16377,449,1,San Francisco,7507
16378,449,1,San Francisco,7507
16379,315,1,San Francisco,7507
16380,315,1,San Francisco,7507
16432,190,1,San Francisco,7507
16433,190,1,San Francisco,7507
16434,190,1,San Francisco,7507
16438,72,1,San Francisco,7507
16442,231,1,San Francisco,7507
