MAZ,households,HHSize1,HHSize2,HHSize3,HHSize4p,Male,Female,Age_00_19,Age_20_34,Age_35_64,Age_65_up,Pop,maz_seq1,taz_seq1,TAZ,PUMA,COUNTYFP,mtc_county_id,county_name
511097,26,7,8,4,7,33,38,21,15,27,8,71,32194,3946,500189,1301,95,6,Solano
511744,44,11,14,7,12,57,62,36,26,43,14,119,32475,3946,500189,1301,95,6,Solano
518488,236,60,72,38,66,304,336,193,140,230,77,640,34171,3946,500189,1301,95,6,Solano
520068,106,29,39,13,25,123,134,62,43,106,46,257,34456,3891,500132,1301,95,6,Solano
517655,125,32,38,20,35,161,178,102,74,122,41,339,33993,3946,500189,1301,95,6,Solano
515061,22,6,9,3,4,26,27,12,7,24,10,53,33384,4030,500281,1301,95,6,Solano
520071,0,0,0,0,0,0,0,0,0,0,0,0,34457,3948,500191,1301,95,6,Solano
510799,6,1,2,1,2,10,9,5,4,8,2,19,32063,3883,500124,1301,95,6,Solano
519524,48,12,14,11,11,59,65,37,40,41,6,124,34360,3948,500191,1301,95,6,Solano
513754,10,2,3,2,3,13,13,8,4,9,5,26,33050,3906,500149,1301,95,6,Solano
511291,22,6,6,4,6,29,29,17,8,23,10,58,32283,3906,500149,1301,95,6,Solano
512279,61,17,18,12,14,77,83,45,34,58,23,160,32669,3907,500150,1301,95,6,Solano
513982,0,0,0,0,0,0,0,0,0,0,0,0,33111,3929,500172,1301,95,6,Solano
518843,10,4,3,1,2,14,16,6,5,11,8,30,34257,3929,500172,1301,95,6,Solano
512049,35,9,11,7,8,44,48,26,19,34,13,92,32580,3907,500150,1301,95,6,Solano
511095,170,46,51,33,40,214,231,126,94,160,65,445,32193,3907,500150,1301,95,6,Solano
512362,206,56,62,40,48,260,279,153,114,193,79,539,32697,3907,500150,1301,95,6,Solano
510579,106,40,33,14,19,152,167,59,57,115,88,319,31973,3929,500172,1301,95,6,Solano
519289,133,36,34,24,39,172,196,113,66,139,50,368,34332,3923,500166,1301,95,6,Solano
510300,13,3,4,3,3,16,18,10,7,12,5,34,31828,3907,500150,1301,95,6,Solano
514046,128,35,38,25,30,161,174,95,71,120,49,335,33123,3907,500150,1301,95,6,Solano
513459,20,5,5,4,6,26,29,17,10,21,7,55,32978,3923,500166,1301,95,6,Solano
411073,25,3,7,6,9,40,43,27,17,33,6,83,26246,3698,400566,2102,13,5,Contra Costa
423145,11,1,3,3,4,18,19,12,7,15,3,37,30238,3698,400566,2102,13,5,Contra Costa
411185,4,0,1,1,2,6,7,4,3,5,1,13,26299,3698,400566,2102,13,5,Contra Costa
414101,12,1,3,3,5,19,21,13,8,16,3,40,27412,3698,400566,2102,13,5,Contra Costa
420984,0,0,0,0,0,0,0,0,0,0,0,0,29660,3698,400566,2102,13,5,Contra Costa
414524,68,8,18,16,26,110,116,73,45,92,16,226,27558,3698,400566,2102,13,5,Contra Costa
415047,34,13,12,4,5,33,35,15,12,31,10,68,27744,3760,400632,2102,13,5,Contra Costa
414786,8,1,2,2,3,13,14,9,5,11,2,27,27644,3698,400566,2102,13,5,Contra Costa
419486,1,1,0,0,0,1,1,0,0,2,0,2,29201,3674,400540,2102,13,5,Contra Costa
418974,9,2,4,2,1,10,11,4,3,11,3,21,29042,3674,400540,2102,13,5,Contra Costa
418730,1,1,0,0,0,1,1,0,0,2,0,2,28963,3760,400632,2102,13,5,Contra Costa
420595,2,1,1,0,0,2,2,1,1,1,1,4,29529,3760,400632,2102,13,5,Contra Costa
422629,86,36,29,9,12,84,88,38,29,80,25,172,30106,3760,400632,2102,13,5,Contra Costa
411898,110,25,48,19,18,131,130,51,32,135,43,261,26587,3674,400540,2102,13,5,Contra Costa
422651,43,18,15,4,6,42,44,19,15,39,13,86,30113,3760,400632,2102,13,5,Contra Costa
410767,39,17,13,4,5,38,40,17,13,36,12,78,26097,3760,400632,2102,13,5,Contra Costa
412015,6,2,2,1,1,6,6,2,2,6,2,12,26636,3761,400633,2102,13,5,Contra Costa
417587,54,12,23,10,9,64,64,25,16,66,21,128,28588,3674,400540,2102,13,5,Contra Costa
415330,49,11,21,9,8,58,58,23,14,60,19,116,27837,3674,400540,2102,13,5,Contra Costa
411894,172,39,75,30,28,206,203,80,50,212,67,409,26586,3674,400540,2102,13,5,Contra Costa
412813,451,190,158,57,46,434,454,163,156,450,119,888,26945,3761,400633,2102,13,5,Contra Costa
510164,265,67,79,45,74,350,368,210,117,343,48,718,31761,4026,500277,1301,95,6,Solano
516084,314,79,95,53,87,415,436,248,139,407,57,851,33624,4027,500278,1301,95,6,Solano
511826,48,12,15,8,13,63,67,38,21,62,9,130,32491,4027,500278,1301,95,6,Solano
519445,28,3,8,5,12,46,45,28,13,43,7,91,34353,3988,500234,1301,95,6,Solano
520077,25,6,8,4,7,33,35,20,11,32,5,68,34459,4026,500277,1301,95,6,Solano
518987,185,31,57,36,61,261,274,162,83,264,26,535,34280,4002,500250,1301,95,6,Solano
514130,69,17,21,12,19,91,96,55,31,88,13,187,33153,4026,500277,1301,95,6,Solano
