MAZ,households,HHSize1,HHSize2,HHSize3,HHSize4p,HHType1,HHType2,HHType3,HHType4,HHType5,maz,taz_seq,TAZ,PUMA,COUNTYFP,mtc_county_id,county_name
17092,158,53,53,27,25,61,7,16,54,20,3991,222,224,2201,75,1,San Francisco
12561,51,15,17,8,11,23,2,5,15,6,1526,534,544,2201,75,1,San Francisco
12562,68,20,23,11,14,31,3,7,20,7,1527,534,544,2201,75,1,San Francisco
12137,82,24,28,13,17,38,3,8,24,9,1273,534,544,2201,75,1,San Francisco
16563,90,29,30,16,15,35,2,10,30,13,3693,262,264,2201,75,1,San Francisco
16562,81,21,24,16,20,39,4,10,21,7,3692,327,333,2201,75,1,San Francisco
16564,52,17,17,9,9,20,1,6,17,8,3694,262,264,2201,75,1,San Francisco
10213,59,15,17,12,15,29,3,7,15,5,120,327,333,2201,75,1,San Francisco
16559,80,22,27,15,16,31,4,10,22,13,3689,261,263,2201,75,1,San Francisco
12139,73,20,25,14,14,28,4,9,20,12,1275,261,263,2201,75,1,San Francisco
14508,105,31,35,17,22,49,4,10,31,11,2577,534,544,2201,75,1,San Francisco
12134,131,43,43,24,21,48,4,13,44,22,1270,242,244,2201,75,1,San Francisco
10885,0,0,0,0,0,0,0,0,0,0,535,242,244,2201,75,1,San Francisco
12563,114,38,40,19,17,43,3,13,38,17,1528,203,205,2201,75,1,San Francisco
12720,94,31,33,16,14,35,3,11,31,14,1607,203,205,2201,75,1,San Francisco
12138,120,40,39,22,19,44,4,12,40,20,1274,242,244,2201,75,1,San Francisco
15615,126,42,41,23,20,47,4,12,42,21,3179,242,244,2201,75,1,San Francisco
15829,62,25,20,10,7,26,4,3,25,4,3286,77,77,2201,75,1,San Francisco
14825,50,17,17,8,8,20,2,5,17,6,2737,222,224,2201,75,1,San Francisco
15610,122,41,41,21,19,47,6,13,41,15,3175,222,224,2201,75,1,San Francisco
13782,117,27,39,18,33,74,3,7,27,6,2175,74,74,2201,75,1,San Francisco
13614,150,34,51,23,42,96,4,8,34,8,2084,74,74,2201,75,1,San Francisco
15611,67,23,23,11,10,26,3,7,23,8,3176,222,224,2201,75,1,San Francisco
15614,88,29,30,15,14,34,4,9,30,11,3178,222,224,2201,75,1,San Francisco
14827,77,19,30,10,18,44,1,7,19,6,2738,245,247,2201,75,1,San Francisco
17098,117,40,39,20,18,45,5,12,40,15,3996,222,224,2201,75,1,San Francisco
13786,109,37,37,18,17,42,5,11,37,14,2178,222,224,2201,75,1,San Francisco
14048,129,32,49,18,30,74,2,11,32,10,2320,245,247,2201,75,1,San Francisco
13783,35,9,13,5,8,19,1,3,9,3,2176,245,247,2201,75,1,San Francisco
14773,99,25,38,13,23,56,2,8,25,8,2712,245,247,2201,75,1,San Francisco
17015,80,26,26,14,14,31,2,9,26,12,3950,262,264,2201,75,1,San Francisco
10214,83,22,23,17,21,40,4,10,22,7,121,327,333,2201,75,1,San Francisco
10215,196,65,64,34,33,76,5,22,64,29,122,262,264,2201,75,1,San Francisco
12141,76,20,22,15,19,37,3,9,20,7,1277,327,333,2201,75,1,San Francisco
16560,98,27,34,18,19,38,5,12,27,16,3690,261,263,2201,75,1,San Francisco
16561,107,29,37,20,21,43,5,13,29,17,3691,261,263,2201,75,1,San Francisco
17016,105,35,34,18,18,40,3,12,34,16,3951,262,264,2201,75,1,San Francisco
16842,63,16,18,13,16,30,3,8,16,6,3865,327,333,2201,75,1,San Francisco
16840,96,26,33,18,19,37,5,12,26,16,3864,261,263,2201,75,1,San Francisco
17099,74,19,21,15,19,36,3,9,19,7,3997,327,333,2201,75,1,San Francisco
12564,82,22,29,15,16,33,4,10,22,13,1529,261,263,2201,75,1,San Francisco
14510,90,30,32,15,13,34,2,10,30,14,2578,203,205,2201,75,1,San Francisco
12140,151,50,54,25,22,57,4,17,50,23,1276,203,205,2201,75,1,San Francisco
16395,146,48,48,27,23,53,5,14,49,25,3605,242,244,2201,75,1,San Francisco
16022,143,48,47,26,22,52,5,14,48,24,3395,242,244,2201,75,1,San Francisco
14438,113,37,40,19,17,43,3,13,37,17,2538,203,205,2201,75,1,San Francisco
