MAZ,num_hh,gq_pop,gq_military,gq_university,gq_other,MAZ_ID
10805.0,27,0,0,0,0,10805
10806.0,44,0,0,0,0,10806
10809.0,3,0,0,0,0,10809
10810.0,93,20,0,0,20,10810
10811.0,52,0,0,0,0,10811
10812.0,39,3,0,0,3,10812
10813.0,47,7,0,0,7,10813
10814.0,200,0,0,0,0,10814
10817.0,51,0,0,0,0,10817
10818.0,51,0,0,0,0,10818
10819.0,66,0,0,0,0,10819
10822.0,2,0,0,0,0,10822
10823.0,39,0,0,0,0,10823
10834.0,103,0,0,0,0,10834
10835.0,67,31,0,0,31,10835
10837.0,152,0,0,0,0,10837
10838.0,119,0,0,0,0,10838
10839.0,0,0,0,0,0,10839
10840.0,0,0,0,0,0,10840
10843.0,54,0,0,0,0,10843
10847.0,80,0,0,0,0,10847
10848.0,96,6,0,0,6,10848
10849.0,107,0,0,0,0,10849
10850.0,88,0,0,0,0,10850
10851.0,98,0,0,0,0,10851
10852.0,117,0,0,0,0,10852
10853.0,228,0,0,0,0,10853
10854.0,31,0,0,0,0,10854
10856.0,224,0,0,0,0,10856
10857.0,174,0,0,0,0,10857
10858.0,60,0,0,0,0,10858
10859.0,83,0,0,0,0,10859
10860.0,45,0,0,0,0,10860
10861.0,36,0,0,0,0,10861
10863.0,678,56,0,0,56,10863
10864.0,19,0,0,0,0,10864
10865.0,52,0,0,0,0,10865
10866.0,49,0,0,0,0,10866
10867.0,57,0,0,0,0,10867
10868.0,33,0,0,0,0,10868
10871.0,256,19,0,0,19,10871
10873.0,54,0,0,0,0,10873
10874.0,161,0,0,0,0,10874
10876.0,53,0,0,0,0,10876
10877.0,109,0,0,0,0,10877
10878.0,48,0,0,0,0,10878
10879.0,79,0,0,0,0,10879
10881.0,76,5,0,0,5,10881
10882.0,62,0,0,0,0,10882
10883.0,98,0,0,0,0,10883
10884.0,137,0,0,0,0,10884
10885.0,0,0,0,0,0,10885
10886.0,64,0,0,0,0,10886
10887.0,151,0,0,0,0,10887
10889.0,106,0,0,0,0,10889
10890.0,56,0,0,0,0,10890
10891.0,62,0,0,0,0,10891
10892.0,150,0,0,0,0,10892
10893.0,100,0,0,0,0,10893
10894.0,94,0,0,0,0,10894
10895.0,211,0,0,0,0,10895
10896.0,169,0,0,0,0,10896
10897.0,65,0,0,0,0,10897
10898.0,60,0,0,0,0,10898
10899.0,81,11,0,0,11,10899
10900.0,61,10,0,0,10,10900
10901.0,84,11,0,0,11,10901
10902.0,92,0,0,0,0,10902
10904.0,177,0,0,0,0,10904
10906.0,147,0,0,0,0,10906
10907.0,78,1,0,0,1,10907
10908.0,120,0,0,0,0,10908
10909.0,128,0,0,0,0,10909
10910.0,98,0,0,0,0,10910
10911.0,111,14,0,0,14,10911
10912.0,118,0,0,0,0,10912
10913.0,55,0,0,0,0,10913
10914.0,76,0,0,0,0,10914
10915.0,67,0,0,0,0,10915
10916.0,42,0,0,0,0,10916
10917.0,36,0,0,0,0,10917
10920.0,0,0,0,0,0,10920
10922.0,30,15,0,0,15,10922
10924.0,63,0,0,0,0,10924
10925.0,73,0,0,0,0,10925
10927.0,238,0,0,0,0,10927
10929.0,69,0,0,0,0,10929
10930.0,137,0,0,0,0,10930
10933.0,33,0,0,0,0,10933
10934.0,26,0,0,0,0,10934
10936.0,45,0,0,0,0,10936
10937.0,92,0,0,0,0,10937
10938.0,47,0,0,0,0,10938
10939.0,44,0,0,0,0,10939
10940.0,40,0,0,0,0,10940
10941.0,59,0,0,0,0,10941
10944.0,31,12,0,0,12,10944
10947.0,132,0,0,0,0,10947
10948.0,337,0,0,0,0,10948
10950.0,315,0,0,0,0,10950
10951.0,290,0,0,0,0,10951
10955.0,58,0,0,0,0,10955
10956.0,62,0,0,0,0,10956
10957.0,37,0,0,0,0,10957
10958.0,64,0,0,0,0,10958
10959.0,125,678,0,609,69,10959
10961.0,111,0,0,0,0,10961
10962.0,118,0,0,0,0,10962
10964.0,46,10,0,0,10,10964
10965.0,102,19,0,0,19,10965
10966.0,245,0,0,0,0,10966
10967.0,87,0,0,0,0,10967
10970.0,54,0,0,0,0,10970
10972.0,1,56,0,0,56,10972
10975.0,98,29,0,0,29,10975
10976.0,80,0,0,0,0,10976
10977.0,59,0,0,0,0,10977
10978.0,54,0,0,0,0,10978
10982.0,64,0,0,0,0,10982
10983.0,56,0,0,0,0,10983
10984.0,75,0,0,0,0,10984
10985.0,116,0,0,0,0,10985
10986.0,93,0,0,0,0,10986
10989.0,132,0,0,0,0,10989
10990.0,116,0,0,0,0,10990
10991.0,171,0,0,0,0,10991
10992.0,128,0,0,0,0,10992
10993.0,155,18,0,0,18,10993
10994.0,112,0,0,0,0,10994
10995.0,117,0,0,0,0,10995
10996.0,284,36,0,36,0,10996
10997.0,110,0,0,0,0,10997
10999.0,93,0,0,0,0,10999
11001.0,109,0,0,0,0,11001
11002.0,20,0,0,0,0,11002
11004.0,96,0,0,0,0,11004
11005.0,91,0,0,0,0,11005
11006.0,98,0,0,0,0,11006
11008.0,191,0,0,0,0,11008
11011.0,0,0,0,0,0,11011
11013.0,0,0,0,0,0,11013
11014.0,0,0,0,0,0,11014
11015.0,36,0,0,0,0,11015
11018.0,58,5,0,0,5,11018
11021.0,89,0,0,0,0,11021
11026.0,457,32,0,32,0,11026
11027.0,90,0,0,0,0,11027
11028.0,98,0,0,0,0,11028
11031.0,0,0,0,0,0,11031
11033.0,1,12,0,0,12,11033
