MAZ_NODE,numhh_gq,gq_type_univ,gq_type_noninst
12343,109,0,0
12344,74,0,0
12346,794,0,0
12348,29,0,0
12349,11,0,9
12353,40,0,7
12354,171,0,9
12356,13,0,0
12358,48,0,0
12361,41,0,0
12362,54,0,0
12363,42,0,0
12364,61,0,0
12365,51,0,0
12366,51,0,0
12368,41,0,0
12369,38,0,0
12370,33,0,0
12372,37,0,0
12373,31,0,0
12377,36,0,0
12382,55,0,0
12383,44,0,3
12384,42,0,0
12387,32,0,0
12390,0,0,0
12391,534,0,278
12392,280,0,27
12393,101,0,0
12394,235,0,0
12395,13,0,0
12397,64,0,63
12398,160,0,13
12400,120,0,0
12401,75,0,0
12402,104,0,0
12409,25,0,0
12410,53,0,0
12412,99,0,0
12414,230,0,0
12415,150,0,0
12418,56,0,0
12419,45,0,0
12421,27,0,0
12423,2,0,0
12427,142,0,0
12428,250,0,0
12430,0,0,0
12431,127,0,10
12433,51,0,3
12434,138,0,0
12435,58,0,0
12436,118,0,0
12438,89,0,0
12439,138,0,0
12440,69,0,0
12442,18,0,6
12446,160,0,0
12447,150,0,0
12451,0,0,0
12452,24,0,0
12454,46,0,0
12455,57,0,0
12458,46,0,0
12459,58,0,0
12460,75,0,0
12461,57,0,0
12462,69,0,0
12463,53,0,0
12464,60,0,0
12465,51,0,0
12466,59,0,0
12467,49,0,0
12469,31,0,0
12473,186,0,32
12474,42,0,0
12475,77,0,0
12476,197,0,0
12488,1,0,0
12489,264,0,0
12491,116,0,0
12492,64,0,0
12494,3,0,3
12495,0,0,0
12496,176,0,0
12498,134,0,0
12499,170,0,0
12500,185,0,0
12501,202,0,0
12506,130,0,0
12509,115,0,0
12514,81,0,0
12515,93,0,0
12516,0,0,0
12517,36,0,36
12518,106,0,0
12521,236,0,11
12522,102,0,0
12523,183,0,0
12524,111,0,0
12525,95,0,0
12527,81,0,0
12529,119,0,15
12530,201,0,0
12531,102,0,0
12532,195,0,0
12533,117,0,0
12534,100,0,12
12538,114,0,0
12539,39,0,0
12540,128,0,0
12541,162,0,0
12542,171,0,0
12543,86,0,0
12544,35,0,0
12545,142,0,0
12546,119,0,0
12547,73,0,0
12548,178,0,0
12549,336,0,0
12550,344,0,3
12551,168,0,0
12552,66,0,0
12553,81,0,0
12554,105,0,0
12555,95,0,0
12557,147,0,0
12558,93,0,0
12561,57,0,0
12562,72,0,0
12563,116,0,0
12564,88,0,0
12567,90,0,0
12568,36,0,0
12569,36,0,0
12570,54,0,0
12572,175,0,67
12574,22,0,22
12577,428,0,13
12578,4,0,2
12582,0,0,0
12588,41,0,0
