id,total_pop_control,total_pop_result,total_pop_diff,total_pop_pct_error
464,1294.0,1313,19.0,1.4683153013910355
465,1250.0,1297,47.0,3.7600000000000002
466,1941.0,2045,104.0,5.358062854198867
467,899.0,1077,178.0,19.799777530589544
468,930.0,829,-101.0,-10.86021505376344
469,1091.0,1351,260.0,23.831347387717692
470,1846.0,2036,190.0,10.292524377031418
471,1496.0,1252,-244.0,-16.31016042780749
472,931.0,997,66.0,7.089151450053706
473,1127.0,1164,37.0,3.2830523513753325
474,709.0,711,2.0,0.2820874471086037
475,955.0,928,-27.0,-2.8272251308900525
476,1419.0,1428,9.0,0.6342494714587738
477,1573.0,1423,-150.0,-9.535918626827717
478,492.0,564,72.0,14.634146341463413
479,1574.0,1218,-356.0,-22.61753494282084
480,1870.0,1692,-178.0,-9.518716577540106
481,1104.0,987,-117.0,-10.597826086956522
482,512.0,725,213.0,41.6015625
483,1311.0,1308,-3.0,-0.2288329519450801
484,1503.0,2525,1022.0,67.99733865602128
485,1450.0,927,-523.0,-36.06896551724138
486,1474.0,1246,-228.0,-15.468113975576662
487,1006.0,1329,323.0,32.10735586481113
488,1945.0,1783,-162.0,-8.32904884318766
489,1616.0,1602,-14.0,-0.8663366336633664
490,1702.0,1456,-246.0,-14.45358401880141
491,1195.0,1430,235.0,19.665271966527197
492,1745.0,2120,375.0,21.48997134670487
493,1288.0,1252,-36.0,-2.7950310559006213
494,1074.0,1100,26.0,2.4208566108007448
495,1358.0,1536,178.0,13.107511045655377
496,1271.0,1431,160.0,12.588512981904012
497,1316.0,1318,2.0,0.1519756838905775
498,1693.0,1350,-343.0,-20.25989367985824
499,1534.0,1452,-82.0,-5.345501955671447
500,959.0,1198,239.0,24.92179353493222
501,945.0,1039,94.0,9.947089947089948
502,1338.0,1404,66.0,4.932735426008969
503,1353.0,1258,-95.0,-7.021433850702144
504,1436.0,1499,63.0,4.387186629526462
505,1373.0,1241,-132.0,-9.61398397669337
506,1233.0,1381,148.0,12.003244120032441
507,1191.0,1131,-60.0,-5.037783375314862
508,1351.0,1160,-191.0,-14.137675795706883
509,2506.0,2130,-376.0,-15.003990422984836
510,1807.0,1353,-454.0,-25.124515771997785
511,2647.0,2298,-349.0,-13.184737438609748
512,2229.0,1949,-280.0,-12.561686855091969
513,2725.0,2845,120.0,4.4036697247706424
514,1144.0,1474,330.0,28.846153846153843
515,1857.0,2037,180.0,9.693053311793214
516,609.0,720,111.0,18.226600985221676
517,1631.0,752,-879.0,-53.893316983445736
518,611.0,736,125.0,20.458265139116204
519,1243.0,1035,-208.0,-16.733708769107
520,1940.0,1902,-38.0,-1.958762886597938
521,1690.0,1688,-2.0,-0.1183431952662722
522,1791.0,1876,85.0,4.745951982132887
523,770.0,1062,292.0,37.922077922077925
524,1925.0,1637,-288.0,-14.96103896103896
525,1466.0,1095,-371.0,-25.306957708049115
526,1231.0,1422,191.0,15.515840779853777
527,1730.0,1602,-128.0,-7.398843930635839
528,946.0,1019,73.0,7.716701902748414
529,1120.0,1208,88.0,7.857142857142857
530,1217.0,1431,214.0,17.584223500410847
531,1579.0,1513,-66.0,-4.179860671310956
532,1472.0,1850,378.0,25.679347826086957
533,2223.0,2102,-121.0,-5.443094916779128
534,650.0,692,42.0,6.461538461538462
535,927.0,1286,359.0,38.727076591154265
536,1384.0,1443,59.0,4.263005780346821
537,1976.0,1576,-400.0,-20.242914979757085
538,1256.0,1751,495.0,39.410828025477706
539,2743.0,2173,-570.0,-20.780167699598977
540,1055.0,1061,6.0,0.5687203791469194
541,941.0,970,29.0,3.0818278427205104
542,1064.0,1362,298.0,28.007518796992482
543,1226.0,1218,-8.0,-0.6525285481239804
544,1524.0,1701,177.0,11.614173228346457
545,1260.0,1188,-72.0,-5.714285714285714
546,1379.0,1269,-110.0,-7.976794778825235
547,1258.0,1554,296.0,23.52941176470588
548,1527.0,1495,-32.0,-2.0956123117223315
549,1142.0,922,-220.0,-19.264448336252187
550,1594.0,2114,520.0,32.622333751568384
551,1095.0,1066,-29.0,-2.6484018264840183
553,3043.0,2769,-274.0,-9.004272099901414
554,1196.0,975,-221.0,-18.478260869565215
555,644.0,625,-19.0,-2.950310559006211
556,1649.0,2123,474.0,28.744693753790173
557,1245.0,1078,-167.0,-13.413654618473897
558,2471.0,2284,-187.0,-7.567786321327398
559,728.0,966,238.0,32.69230769230769
560,818.0,960,142.0,17.359413202933986
561,1117.0,827,-290.0,-25.962399283795882
562,1898.0,1943,45.0,2.3709167544783982
563,2019.0,1889,-130.0,-6.438831104507181
564,4650.0,4496,-154.0,-3.3118279569892475
565,2878.0,3020,142.0,4.933981931897151
566,2431.0,3290,859.0,35.33525298231181
567,239.0,391,152.0,63.59832635983263
568,10.0,36,26.0,260.0
569,1822.0,1452,-370.0,-20.30735455543359
570,1827.0,2321,494.0,27.038861521620145
571,843.0,1548,705.0,83.62989323843416
572,964.0,574,-390.0,-40.45643153526971
573,1580.0,1569,-11.0,-0.6962025316455696
574,2359.0,2216,-143.0,-6.0618906316235694
575,1316.0,1106,-210.0,-15.957446808510639
576,26.0,113,87.0,334.61538461538464
578,59.0,142,83.0,140.67796610169492
579,2125.0,1947,-178.0,-8.376470588235293
581,409.0,493,84.0,20.537897310513447
582,17.0,16,-1.0,-5.88235294117647
583,80.0,288,208.0,260.0
584,1841.0,1361,-480.0,-26.072786529060295
585,1352.0,1712,360.0,26.627218934911244
586,2801.0,4153,1352.0,48.268475544448414
588,372.0,118,-254.0,-68.27956989247312
590,1072.0,1315,243.0,22.667910447761194
592,798.0,11,-787.0,-98.62155388471177
594,199.0,441,242.0,121.60804020100502
595,688.0,774,86.0,12.5
597,1072.0,760,-312.0,-29.1044776119403
598,731.0,773,42.0,5.745554035567715
599,1922.0,1388,-534.0,-27.78355879292404
600,948.0,635,-313.0,-33.016877637130804
601,588.0,523,-65.0,-11.054421768707483
602,294.0,906,612.0,208.16326530612247
603,132.0,405,273.0,206.81818181818184
604,139.0,280,141.0,101.43884892086331
605,748.0,1294,546.0,72.99465240641712
606,2601.0,1342,-1259.0,-48.40445982314495
607,4404.0,6234,1830.0,41.55313351498637
608,452.0,390,-62.0,-13.716814159292035
609,857.0,776,-81.0,-9.451575262543757
610,279.0,3,-276.0,-98.9247311827957
611,279.0,29,-250.0,-89.6057347670251
612,438.0,4,-434.0,-99.08675799086758
613,789.0,367,-422.0,-53.48542458808618
614,350.0,3,-347.0,-99.14285714285714
615,9.0,214,205.0,2277.777777777778
616,52.0,171,119.0,228.84615384615384
617,26.0,51,25.0,96.15384615384616
618,23.0,152,129.0,560.8695652173913
619,29.0,96,67.0,231.0344827586207
620,5.0,1,-4.0,-80.0
621,21.0,6,-15.0,-71.42857142857143
622,1390.0,1599,209.0,15.035971223021583
623,2855.0,3046,191.0,6.690017513134851
624,1637.0,296,-1341.0,-81.9181429444105
625,762.0,1832,1070.0,140.41994750656167
626,1016.0,935,-81.0,-7.97244094488189
627,769.0,253,-516.0,-67.1001300390117
628,812.0,1217,405.0,49.87684729064039
629,657.0,342,-315.0,-47.94520547945205
630,1214.0,389,-825.0,-67.95716639209226
631,359.0,288,-71.0,-19.77715877437326
632,909.0,483,-426.0,-46.864686468646866
633,855.0,664,-191.0,-22.33918128654971
635,304.0,574,270.0,88.81578947368422
636,1052.0,818,-234.0,-22.24334600760456
637,659.0,829,170.0,25.796661608497722
638,507.0,554,47.0,9.270216962524655
639,1116.0,1439,323.0,28.9426523297491
